WKT,LM_ASSET_ID,Signal_Type_NotUsed,IIT_DATE_COMMISSIONED,IIT_LATITUDE,IIT_LONGITUDE
POINT (115.84742501000005 -31.945335990999979),1,Traffic Signal,7/12/1953 0:00,-31.945336,115.847425
POINT (115.85649401000001 -31.954687990999957),2,Traffic Signal,19/12/1954 0:00,-31.954688,115.856494
POINT (115.85702001000004 -31.953565990999948),3,Traffic Signal,19/12/1954 0:00,-31.953566,115.85702
POINT (115.85752801000001 -31.952459990999955),4,Traffic Signal,19/12/1954 0:00,-31.95246,115.857528
POINT (115.85810201000004 -31.951230990999932),5,Traffic Signal,19/12/1954 0:00,-31.951231,115.858102
POINT (115.80261201000008 -31.97930699099993),6,Traffic Signal,4/06/1956 0:00,-31.979307,115.802612
POINT (115.78136601000006 -31.983118990999969),7,Traffic Signal,4/06/1956 0:00,-31.983119,115.781366
POINT (115.76289501000008 -31.997922990999939),8,Traffic Signal,10/04/1957 0:00,-31.997923,115.762895
POINT (115.87290801000006 -31.956107990999953),9,Traffic Signal,6/06/1957 0:00,-31.956108,115.872908
POINT (115.87216501000012 -31.934445990999961),10,Traffic Signal,21/06/1957 0:00,-31.934446,115.872165
POINT (115.77799001000005 -31.984268990999965),11,Traffic Signal,11/08/1957 0:00,-31.984269,115.77799
POINT (115.87132301000008 -31.959654990999979),12,Traffic Signal,13/05/1958 0:00,-31.959655,115.871323
POINT (115.84662601000002 -31.936417990999928),13,Traffic Signal,16/05/1958 0:00,-31.936418,115.846626
POINT (115.85257101000002 -31.936462990999928),14,Traffic Signal,20/05/1958 0:00,-31.936463,115.852571
POINT (115.84576301000004 -31.939272990999939),15,Traffic Signal,24/06/1958 0:00,-31.939273,115.845763
POINT (115.85191201000009 -31.942062990999943),16,Traffic Signal,24/06/1958 0:00,-31.942063,115.851912
POINT (115.84122301000002 -31.936434990999942),17,Traffic Signal,24/06/1958 0:00,-31.936435,115.841223
POINT (115.86106701000006 -31.946279990999983),18,Traffic Signal,1/07/1958 0:00,-31.94628,115.861067
POINT (115.86362101000009 -31.941069990999949),19,Traffic Signal,1/07/1958 0:00,-31.94107,115.863621
POINT (115.85874701000012 -31.949976990999971),20,Traffic Signal,8/07/1958 0:00,-31.949977,115.858747
POINT (115.85932401000002 -31.949087990999942),21,Traffic Signal,8/07/1958 0:00,-31.949088,115.859324
POINT (115.85112401000004 -31.952970990999972),22,Traffic Signal,23/07/1958 0:00,-31.952971,115.851124
POINT (115.86389001000009 -31.947554990999947),23,Traffic Signal,7/08/1958 0:00,-31.947555,115.86389
POINT (115.86701401000005 -31.942620990999956),24,Traffic Signal,13/08/1958 0:00,-31.942621,115.867014
POINT (115.85306801000002 -31.953589990999944),25,Traffic Signal,15/09/1958 0:00,-31.95359,115.853068
POINT (115.86026901000002 -31.954639990999965),26,Traffic Signal,20/11/1958 0:00,-31.95464,115.860269
POINT (115.8607800100001 -31.953544990999944),27,Traffic Signal,20/11/1958 0:00,-31.953545,115.86078
POINT (115.8613630100001 -31.952312990999928),28,Traffic Signal,19/02/1959 0:00,-31.952313,115.861363
POINT (115.85974701000009 -31.955755990999933),29,Traffic Signal,19/02/1959 0:00,-31.955756,115.859747
POINT (115.85268101000008 -31.949451990999933),30,Traffic Signal,20/04/1959 0:00,-31.949452,115.852681
POINT (115.87911901000007 -31.937472990999936),31,Traffic Signal,13/05/1959 0:00,-31.937473,115.879119
POINT (115.89679101000002 -31.973601990999953),32,Traffic Signal,17/07/1959 0:00,-31.973602,115.896791
POINT (115.74642701000005 -32.054499990999943),33,Traffic Signal,6/08/1959 0:00,-32.0545,115.746427
POINT (115.91000101000009 -31.925913990999959),34,Traffic Signal,3/09/1959 0:00,-31.925914,115.910001
POINT (115.85247101000004 -31.955125990999932),35,Traffic Signal,9/11/1959 0:00,-31.955126,115.852471
POINT (115.85083201000009 -31.955217990999984),36,Traffic Signal,9/11/1959 0:00,-31.955218,115.850832
POINT (115.85589701000004 -31.956013990999963),37,Traffic Signal,9/11/1959 0:00,-31.956014,115.855897
POINT (18446743673.709553 18446743673.709553),38,DECOMMISSIONED,,,
POINT (115.86763701000007 -31.954370990999962),39,Traffic Signal,21/01/1960 0:00,-31.954371,115.867637
POINT (115.77610901000003 -32.038310990999946),40,Traffic Signal,16/10/2005 0:00,-32.038311,115.776109
POINT (115.91300501000001 -31.993787990999977),92,Traffic Signal,9/10/1969 0:00,-31.993788,115.913005
POINT (115.81577301000004 -32.046224990999974),93,Traffic Signal,4/11/1969 0:00,-32.046225,115.815773
POINT (115.87517701000002 -31.983360990999984),138,Traffic Signal,16/10/1972 0:00,-31.983361,115.875177
POINT (115.96851601000003 -32.036578990999942),139,Traffic Signal,14/11/1972 0:00,-32.036579,115.968516
POINT (115.98161301000005 -31.899349990999951),224,Traffic Signal,13/05/1976 0:00,-31.89935,115.981613
POINT (115.85863701000005 -31.955400990999976),225,Pelican,21/06/1976 0:00,-31.955401,115.858637
POINT (115.85755601000005 -31.954988990999937),226,Pelican,3/06/2011 0:00,-31.954989,115.857556
POINT (115.79177401000004 -31.947863990999963),227,Traffic Signal,9/12/2007 0:00,-31.947864,115.791774
POINT (115.83965001000001 -31.945305990999941),41,Traffic Signal,11/03/1990 0:00,-31.945306,115.83965
POINT (115.90622501000007 -31.982466990999967),42,Traffic Signal,11/05/1960 0:00,-31.982467,115.906225
POINT (115.79360801000007 -32.034188990999951),43,Traffic Signal,8/12/1960 0:00,-32.034189,115.793608
POINT (18446743673.709553 18446743673.709553),44,DECOMMISSIONED,,,
POINT (115.87092601000006 -31.988581990999933),45,Traffic Signal,19/06/1961 0:00,-31.988582,115.870926
POINT (115.85962901000005 -31.951735990999964),46,Pelican,22/08/2011 0:00,-31.951736,115.859629
POINT (115.8516370100001 -31.951822990999972),47,Traffic Signal,4/04/1962 0:00,-31.951823,115.851637
POINT (115.88294701000007 -31.973904990999984),48,Traffic Signal,25/06/1962 0:00,-31.973905,115.882947
POINT (115.84641001000011 -31.924197990999971),49,Traffic Signal,12/06/1963 0:00,-31.924198,115.84641
POINT (115.75373201000002 -32.036809990999984),50,Traffic Signal,22/07/1963 0:00,-32.03681,115.753732
POINT (115.83738301000005 -31.947210990999963),51,Traffic Signal,21/08/1963 0:00,-31.947211,115.837383
POINT (115.84125101000006 -31.922418990999972),52,Traffic Signal,28/11/1963 0:00,-31.922419,115.841251
POINT (115.87515801000006 -31.959489990999941),53,Traffic Signal,19/12/1963 0:00,-31.95949,115.875158
POINT (115.74983401000009 -32.049913990999983),54,Traffic Signal,22/07/1964 0:00,-32.049914,115.749834
POINT (115.8769440100001 -31.93851099099993),55,Traffic Signal,5/11/1964 0:00,-31.938511,115.876944
POINT (115.84732801000007 -31.913776990999963),56,Traffic Signal,9/12/1964 0:00,-31.913777,115.847328
POINT (115.87460701000009 -31.960721990999957),57,Traffic Signal,3/03/1965 0:00,-31.960722,115.874607
POINT (115.85983701000009 -31.923916990999942),58,Traffic Signal,29/03/1965 0:00,-31.923917,115.859837
POINT (115.83346701000005 -31.950543990999961),59,Traffic Signal,30/06/1965 0:00,-31.950544,115.833467
POINT (115.8573130100001 -31.938163990999954),60,Traffic Signal,30/06/1965 0:00,-31.938164,115.857313
POINT (115.85423001000004 -31.943125990999931),61,Traffic Signal,30/07/1965 0:00,-31.943126,115.85423
POINT (115.84689601000002 -32.013856990999955),62,Traffic Signal,5/08/1965 0:00,-32.013857,115.846896
POINT (115.85249101000011 -31.927400990999956),63,Traffic Signal,15/09/1965 0:00,-31.927401,115.852491
POINT (115.85841901000003 -31.958568990999936),64,Traffic Signal,5/10/1965 0:00,-31.958569,115.858419
POINT (115.81796001000009 -31.975632990999941),65,Traffic Signal,30/10/1965 0:00,-31.975633,115.81796
POINT (115.81389501000001 -31.977255990999936),66,Traffic Signal,21/04/1958 0:00,-31.977256,115.813895
POINT (115.82134301000008 -31.975112990999946),67,Traffic Signal,2/05/2011 0:00,-31.975113,115.821343
POINT (115.8674430100001 -31.930427990999931),68,Traffic Signal,1/05/2011 0:00,-31.930428,115.867443
